score,review
4,"Much like the classic, brings back great game play....."
1,Reminds me of d&d when i was a kid
1,Very interesting game to play
1,good gome
5,"not as good as dungeon keeper, still better than the clones, just wish the mmo would release in america"
1,So challenging
1,Creative and easy to enjoy. Kills my time pain free.
5,Love it
4,"Really enjoyed the game, but after a recent update, i cant even get the app to open. Would have rated 1 star if i had dropped any real money on it"
5,"Not as good as the original, but decent game"
1,"Not a bad game. Although it isn't right that your being attacked by dungeons 1000s of levels above yours, and cleaning your coffers out. Can never get ahead without spending real money to by gold and stone. Make it more fair, level 17000 shouldn't be attacking level 3000 players. I'm willing to bet many players would pay for a 1 time purchase, but this constant having to buy to get ahead kills anything this game once had."
4,Attacked too often. Not fun.
5,Ea needs to stop
5,"I use to play a similar game on Facebook, glad I found this for my tablet"
2,"Zero notifications until I open it, and then I get all of them at once, and then the game immediately clears them all."
5,Loved it.. very slow progress but great blast from the past conversion
5,We all need to pay cash to move forward in real time if not play at a slow slow grind to move on
2,Oldie but a goodie
5,A fun take on the original PC game.
5,"Fun, casual...sorta...and takes forever to dig and upgrade."
5,Love it upgrade times are a little long but its good
1,Awesome
4,"Good game, when it is working .... unfortunately latest update killed it :("
2,Fun
5,It's a shame that this game does not get more attention. It's really amazing and fun with a lot of humor. Download it so that we can all play!
5,Meh avarge clash of clans rip off
5,EA ruins everything it touches
5,Too bad this isn't the original.
1,"Hands Down , my Opinion , one the Best App Games Ever Created. All Time Fav of My Son and I. Playing Since the Original on PC. Jr."
1,Love old school classics
4,This is the glitchiest game I've ever played! I can't even finish a raid on a dungeon without the game throwing me back to my own dungeon a few seconds in and taking points from me because I didn't have a chance to finish. I can't upgrade anything in my dungeon because people on level 400 keep attacking my level 70 dungeon and stealing all my gold and stone. I can't even play this game! I have never had to give such a bad review for any app I've downloaded.
5,Great easy to play
3,It's good and that only
2,"Really fun, just like old game with new things. Just no good heroes to kill, instead you fight off other players"
5,A fun and addictive game
1,Fun cartoony strategy game with humor. The problem with this game is that it requires High internet speed for constant connectivity. I have a 18 megabit per second download and 2.5 megabit per second upload and if I hesitate or pop out of a screen or try to come back it will disconnect me. No other game I play has this kind of issue.
3,"Thank you. It's a very fun and fair game. Even without spending money it is very playable. I like that it I have the ability to change my dungeon how I like and that I don't have to conform to certain set templates. Overall, it's a pretty good game. Enjoy!"
5,Slow tedious tutorial set the tone for the game
1,"Its a good game, if i remember correctly. Not sure anymore, as it crashes trying to download ten updates at once right after you download the game."
1,Dungeon keeper in name only
1,Good game
1,Looking for a game like this for a long time.
5,Great time consuming game.
3,One it is lagy two it is a knockoff of the dungeon series made by kalypso but it is some what enjoyable
5,i can't play the game beyond the tutorial
5,We want a remake the old pc game !!
5,"Not bad, but the version for the computer is better."
1,"Loved it at first, but it lags and crashes so much it's hard to play sometimes and leaves me frustrated. I still like the game but it needs work with universal compatibility. I have a Samsung J7."
