content,score
This game was so laggy and too many ads it also made my phone freeze this doesn't happen to me with other apps I suggest that you make changes immediately because this game was horrible and made my phone have problems I would give this 0 stars but I can't so I gave it 1 I'm dissatisfied this app is a mistake!,1
Good,4
Good 👍,5
Its SO FUN I can't stop playing it I am all ready on levle 2290 😘,5
Mohammab umer,1
"Would be a great game, but for 5s of Gameplay you get 60s of Ads. Way too much.",2
Its fun,5
OMG WOW God,5
Lots of ad i hate this game,1
😘😘😘😁😁😁😁😁😁,5
The game is more ads than game,1
"Game is fun, way too many adds. Deleted due to all the adds",1
Yet,5
5 minutes of gameplay 30 minutes of ads.,1
Too many ads waste of your internet,1
😁😁😁😁😁😁😁😁😁😁😄😄😄😄,5
Time I go up to weather 100,5
"This game has no challenge, the levels are too short and has too many ads. It's basically not a game. They just use it to farm ads.",1
There are literally hundreds of ads every couple minutes it's unplayable,1
WOW 🤍🕊,5
So good,5
Amazing 😊👍✨😍✨😮✨,5
halo Semuanya jadi ini komen aku untuk mainan roof rails jadi ini mainannya apa ya namanya ya Dan ini tuh seru banget gamenya apa lagi offline jadi aku impresif sampai sini dulu ya dan mohon maaf atas kesalahan tulisannya ya karena ini aku menggunakan apa ya Google yang itu guys Google yang pakai mikrofon itu lagi jadi aku males ketik oke sampai jumpa dadah good bye,5
This Game Is V ery Challenging game,5
My child likes this game but the ad is not family friendly for my my child...,1
"ADS MORE THAN GAMEPLAY. Just a way to get advert revenue from you. Don't download, was uninstall within 2 mins",1
Its very nice i make tik tok storys with it :D,5
It's good,4
Ravikumar HEMA,5
Its so fun,5
I love this game it is so much fun,4
Fun game,5
Trash. Nothing but ads.,1
"2. Because when I played the game it was all going good, overall there WAS a lot of ads and when I started to get to a far into the game I got stuck on this one level NOT BECAUSE I WAS TRASH. Because every time I hit that one spot my game would automatically crash And lag causing my phone to freeze. I don't have this problem with any other game. Also there's also problem with the ads There is WAY to much ads. Such a shame I had to give this game a 2 rating it was a pretty good game at first.",2
This game is a 50/50 because it is kind of boring and kind of fun at the same time.,3
It's is a very bad game🤮🤮 I heat the game,1
I love this game! But I'm on a level that's making me watching a ad and making me die 😣😣😣its making me so annoyed!! Please fix that. 😪😪😪😪😭😭😭😭,4
Too many ads for this game but i really like it if yall took off some ads if would be perfect,3
Good👍 AF,5
Poopoo pee pee check,1
Good,5
Cool,5
Accounts And Accounts,5
To much ads and not fun...,3
"I want to like this. The concept is fun and simple. But my good god the ADS you will be hit with an ad after EVERY level, your screen is SWAMPED with buy gems stuff, and if you hit an ad mid level that means you auto get a x20 but it doesnt stop you from getting YET ANOTHER DAMN AD at the end of the level. I played 4 levels and got 6 ads.... do NOT download this game.",1
"Typical voodoo game, 30 second ad after every level",3
Its good,3
Constant ads and won't let you play if you don't have internet connection,1
Great,5
Not signing away any rights before even playing. Big thumbs down from me,1
That's why I am giving 1 star rate because whenever I am playing this with on net it's gonna be a description coming in the game in on net voodoo check your game it's not good that why I am gonna giving 1star rate,1
This app is so dumb it keeps sticking at the start,1
👍👍,5
Nice game 🥰🥰🥰🥰,1
Saif,1
අව්ලක් නෑ බන්,5
Dumbest game ever. The dev needs to rethink life choices.,1
"Good morning My name is khushi,😄😁",2
it is ok,2
The game just isn't good enough to put up with all the ads.,2
I love it but it has a LOTTTT! Of ads,4
Wont let me play,1
Good,1
"Sorry😉😉😉,😍😍",5
Too much ads,1
♥😘♥ I love it,5
Good Very interesting game,5
Ememe,5
Very cool game,5
It is fun and I love it. I also play it when I am getting dressed in the morning because it wakes me up.,5
I really like this game because this game is very very amazing and I hope more than people will be able to play this game,5
Damn Tangona mooooooo,1
Bad verry bad do not download this game,1
Awesome,5
I like this app,5
It won't let me install,1
Interesting and very challenging game. I like it.,5
Really cool,5
"Lvl 100s, in game ads increase (go from none to multiple), lvl 145, game starts malfunctioning. Collectable bar begins going straight through the ending bars even when it is long enough. I really liked the game up until lvl 145. Was calming, but it is not calming when it is rigged.",3
Its a good game guys you don't have to complain what you have to do to get the adds off is to go to you settings were you swipe down then press the wifi there you go your welcome guys sorry about the rude comments roof rails you made a good game,5
Nice idea for a a game but you've ruined it with all the ads. Tooooo many ads! Bye,2
It's fun but not that good,3
THIS APP IS AMAZING,5
Because I just like the way how the person goes on the roof,5
I good but it can be better,3
Great game my child loves it no need for internet dont need internet access but you can still play have fun the only thing she says she would change is that it's a kids so dont like when you die maybe dont like make it fall down a cliff because it's a kids game so yeh they might be scared of falling of a cliff or something like that that might sound silly but change it I would say or delete the game no harshe ness or anything but I would change it I were you but apart from that GREAT GAME!!!♡♡♡,4
Important,5
I just like it,5
Amazing how you feeling now have succeeded in sending you images on,5
Shahidshahid,5
FULL OF ADS,1
