content,score
Rest in peacey aunty😇angel with a 22😒😒😒😒😒😒😒😒😒😒😒😒😒😒😒😒😒😒😒😒he13c0 of gold❤️❤️❤️,5
Nice,5
I like this game and ad 100 times and please of your network please and play this game Escpe master,5
Good,2
Nice,1
I like this game,5
Awesome game ever,5
Cooooooooooooooooool,1
This game is cool make more please?,5
For now ☺️,3
😠😠😠😠BDBD,1
So nice game to escape,1
This game is humungous,5
I LOVE DIS GAME I CAN BUILD A HAUSE,5
Bad game,1
It is a fun game,5
Sj,3
Cool,5
G8,5
Is good,5
What a boring game. Escape masters...more like escape losers,1
It's fun is easy Dont get caught ❤❤❤,5
Waste,1
This game is awesome 🙂,5
Nice,5
We love this game and this game is so nice,5
Good,3
Cool,5
Ghost Adventures,5
WOW 😄😙❤,5
Best game 🎮,5
Altamash,5
Fun to play,5
Bland graphics and sticking a lot oh less i forget the countless ads.,2
So fun grafics are great i5s so nise,5
😎😙😍🤩👍🤩$,5
O my God so good,5
Super,4
I love the game but the ads are a bit annoying.,4
Super Excited,5
SUCH GAMES HAVE BEEN MY FAVORITE GAME THIS GAME IS ONE OF THE FAVORITE GAME OF MY,5
Rehan,5
A perfect game,5
It is nice,5
You're secxy xxxx,5
Unbelievable,1
Boring,2
این بازی باهاله,4
Gud,1
Lot of ads... Really frustrating,1
Awsome,4
The game is the best,5
Ausam,4
Acest joc e Drăguț,4
Veer hanuman ji ki jai ho,5
very good,5
It's an a amazing game,3
So funny,5
Great game,5
Game could be great but it's full of adds & you after pay £6 month to subscribe so if you finish it in a week you still pay for month also did I mention the ADDS,5
I play,5
Good good good ❤️😍🥰❤️😍🥰❤️😍🥰😍🥰❤️🥰🥰,5
Simple and manageble for kids,5
This game is very fun😏,5
Very actractive game with fun.,5
عالیع,5
Tati hai,5
Very nice game,5
Good game,4
i love,4
Opppp,5
Sper,5
Manirul,5
This is a very very boring game you just have to make a way for the thief to get the gold,1
"Somuch good,,",5
Nice game 👍,4
God app but story is wrong,4
