content,score
I like asking wow this game is super cool❤💗💖💗💖💗💖💗💖💗,5
I love this game and it is very cool,5
I really like this,5
This is very interesting,5
Good,5
this game is the best. the adds doesnt matter because if you turn off the wifi you will have nooooo adds 😍😍👿,5
In the game all the level are amazing and beautiful and very good at making it to me as I can be a part the level,5
its awesome!!!!🤩,5
This game so best,4
Afghan the first one to be able I will not,5
Exciting ha errkuam,5
Super fun!,5
Too much ads,1
It's so fun!😍,5
Greet game,5
Nice,5
i love it but wan so high so i give you three stars,3
I love it 💕💕💕💕,5
Vedappu,5
Happy,5
Pretty good but a bit slow and has a lot of ads.,3
Hi I love you,5
RishuKumar,5
Ok,5
Enjoying game,5
Eshani.S,5
Super,5
There is a game in your ad,1
1000000000000Dimon dedo Plase Garena Walo,5
Lot of ads ... After ever 1 min ads coming,1
Very good,1
Installing... ____ ____________,5
good,5
It's a very fun game but the ads are a bit annoying and it can be a bit laggy,4
Best game in the world,5
Fun but to many advertisements .There's even advertising while playing the game before fish line annoying. Unistalling now,3
Glitchy but good,4
Super fun,4
Horrible too many adds,1
Aprilia Dan Lofe,5
😄😄😄😄😄😁😃🙂😆😅🤣🥰😇😊😉🙃🙂😂😀😄😆🤣🤣😇😇😊😉🙃😂😍😗☺☺😚😙🥰🥰😙🤗🤗😙😙😚,5
Please don't download this game it was hart to move . But I love the game and the topic and the theme,2
I love this game,5
Good,5
"The game is kinda fun, but please... the adds... very very annoying",2
Mokshi yare 9 funi game,4
Repetitive. Not offline.,1
I'm giving this a one star mainly because I played this game a few months ago and you could play offline I understand they can't advertise offline but I can't even play this in my car which is pretty much the point of stupid mobile games.. Greatest wishes -cole,1
"Could've been good if there wasn't ads after every level/in-between levels, and when you turn off the wifi so that it doesn't bother you anymore you can't play. I'm not paying money to remove ads off of a mediocre game, you already get enough money off of my information you're selling over the internet, there's no reason for me to pay 5 dollars to remove them. I've basically sold all of my data to voodoo and they have the audacity to put targeted ads that also steal my information. 2/5.",2
Ok I love the game but I'm having a LOT of bugs please fix them,4
Super,4
Ok ok ok ok ok ok,5
Jada mb😨😨,5
"Gak bisa bahasa inggeris )""",3
Amazing!,5
Its fun because its sometimes a challenge,5
Leggy sometimes,4
Keren bro cocok eewkwkhahaha,5
🥳🥳🥳🥳🥳,5
Great app! Super fun!,5
Awesome👏,4
"It is actually really fun. I don't get a lot of adds. It is very satisfying 😌. Good game for people, ya'll should get it.",5
good,5
Good one,5
Love it,5
Star star star star star,5
I so like this game,5
Good,5
Neci game,5
Best,5
Good game nice i'm excited,5
Every time you finish a level there's an ad and a few seconds of playing and my game bugged out so now I can't play it. I'm not one for nagging. But in my opinion good game to many ads and it bugged out.,1
I love you ❤❤❤❤🙈🙈,5
Its so amazing,5
I love it. I'm only giving it 4 becoz of the ads. They just interrupt when I'm playing.,4
